Tipo,ID_Padre,SHA256_Texto_Padre,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Alertas_Actuales,Texto_Actual
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1294,Vittorio Corbo Lioi,SUJETO_ROL_SESION,RPM-2006-12-14:T20,,El señor Presidente ofrece la palabra para comentarios sobre el escenario interno.
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1295,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2006-12-14:T21,,"Consulta el Vicepresidente señor José De Gregorio si las proyecciones de corto plazo son consistentes con el IPoM, o mayores, o menores que éste."
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1296,Igal Magendzo Weinberger,SUJETO_ROL_NOMBRE,RPM-2006-12-14:T22,,"El Gerente señor Madgenzo señala que para el tercer trimestre respecto al IPoM fueron menores de lo que se esperaba y que el cuarto trimestre es muy similar. Agrega que en todo caso, aún está presente el riesgo de que exista una mayor persistencia de la desaceleración recientemente observada. El Gerente señor Igal Madgenzo señala que la inflación del IPC de noviembre se ubicó en línea con lo esperado, que fue 2,1% anual. Por su parte, la inflación del IPCX1, a diferencia de lo que había ocurrido en meses anteriores, también estuvo en línea con lo esperado. Comenta también el señor Madgenzo que en los últimos meses las medidas de tendencia inflacionaria han ido hacia la baja y que en el presente mes se presenta un comportamiento mixto, esto es, hay algunas cosas que dejaron de bajar o repuntaron algo. Además, señala el señor Madgenzo que también se modifica a la baja el panorama de inflación subyacente de corto plazo por una nueva evaluación de su velocidad de convergencia esperado."
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1297,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2006-12-14:T23,FINAL_SIN_PUNTUACION,"Sobre este comentario, el Vicepresidente señor De Gregorio consulta sobre lo expuesto en cuanto a que todas las tendencias inflacionarias que se tenían el mes pasado venían apuntando hacia abajo y por el otro lado, que la situación se hubiese puesto mixta, unas para abajo y otras para arriba, pero modificamos a la baja el panorama subyacente. i"
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1298,Rodrigo Valdés Pulido,SUJETO_ROL_NOMBRE,RPM-2006-12-14:T24,,"El Gerente de División Estudios señor Rodrigo Valdés señala que quiere precisar, que en su opinión, no sorprende lo que pasó en este mes, amparados por la RPM anterior, pero sigue siendo cierto que la menor inflación que se ha presentado en los últimos meses no se ha revertido. Lo anterior, lleva también a revaluar la posibilidad de que el IPCX1 prontamente tome fuerza."
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1299,Igal Magendzo Weinberger,SUJETO_ROL_NOMBRE,RPM-2006-12-14:T25,,"En materia de inversión, el Gerente señor ígal Madgenzo, señaló que las importaciones de bienes de capital siguen en cero, medidas en promedios móviles, sin embargo los últimos datos se encontrarían en cifras más positivas."
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1300,Andrés Velasco Brañes,SUJETO_ROL_SESION,RPM-2006-12-14:T26,,El señor Ministro consulta qué sucedería si no se incluyera el Transantiago en los gráficos que se muestran.
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1301,Igal Magendzo Weinberger,CONTEXTO_REVISADO,RPM-2006-12-14:T27,NOMBRE_EN_DISCURSO_POR_VERIFICAR,"El señor Madgenzo comenta que el Transantiago representa $ 120 millones de dólares. Agrega que en octubre el pick fue de $ 156 millones de dólares, en noviembre $ 68 millones de dólares y en diciembre $ 68 millones de dólares. En enero y febrero todavía había $ 40 y $ 20 millones de dólares, pero en todo caso se trata de una cifra menor. El señor Madgenzo señala que en la RPM pasada se identificó en el IPC aquellos bienes que correspondían a sectores industriales que están en esta categoría de transables y se ha apreciado que durante el 2005 se produjo una caída de los precios relativos de estos bienes que es muy importante, y el 2006 presenta una caída bastante más pronunciada."
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1302,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2006-12-14:T28,,"Sobre el particular, el Presidente señor Vittorio Corbo señala que se ha podido determinar que China desplaza a Brasil y, en consecuencia, la industria nacional que podía competir con los zapatos de Brasil no puede hacerlo con los de China porque ingresan al mercado a precios muy bajos. Se trata, en consecuencia, que están cambiando los orígenes de dónde vienen las exportaciones y eso comienza a dificultar a sectores que antes podían competir con Brasil o Corea pero no con China. Agrega que China está desplazando a otras fuentes de importación, no al producto local, pero sí le quitan el margen al mercado local."
METADATOS_ATRIBUCION_Y_NOMBRE,1003,b68231dcb9bfd1989c15c4c1cd450326e8910da5492c34e032ade1ba84ae59b3,1303,Rodrigo Valdés Pulido,SUJETO_NOMBRE,RPM-2006-12-14:T29,,"El señor Valdés señala que hay varios temas con China, pero el punto en particular, es si China exporta deflación para un mismo bien, es decir, que el mismo bien es cada vez más barato y, por tanto esto no tiene fin. En otras palabras, el mismo zapato cuesta cada año más barato. Agrega que ese no es el caso, ya que China entra normalmente a un precio para un mismo bien más barato que el resto del mundo cuando ya lo produce. Gana la cuota de mercado, pero esta seudo deflación que importamos de China no es que caiga ese bien de nuevo, sino que el precio de otro bien vuelve a caer y vuelve a ganar cuota de mercado en el mercado siguiente y así existe un efecto repartido en el tiempo de una penetración de un precio de un salto por una vez."
SEPARACION,1424,3a0d157ee8b72c3cf681d582b0911e80a8bb022cf629a58028d967c3a206f372,1864,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2007-09-13:T23,,"El Presidente señor Vittorio Corbo comenta que este tema se pondrá en la Minuta de esta Sesión y también se efectuará una revisión de cuáles son los estándares internacionales existentes en esta materia, para que sirva de apoyo cuando se plantee en otra oportunidad."
