Tipo_Cambio,ID_Padre,SHA256_Texto_Padre,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Alertas_Actuales,Texto_Actual
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,850,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2006-04-13:T50,,"El Presidente, señor Vittorio Corbo, suspende la Sesión a las 12:55 horas e informa que la misma se reanudará a las 16:00 horas."
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,851,Consejo del Banco Central de Chile,ACTA/META,RPM-2006-04-13:T51,,"Siendo las 16:00 horas, se reanuda la Sesión de Política Monetaria N° 91. No se encuentra presente en la Sala, la Secretaria Ejecutiva de la Presidencia señora Cecilia Feliú Carrizo."
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,852,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2006-04-13:T52,,"A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria."
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,853,Rodrigo Valdés Pulido,CONTEXTO_REVISADO,RPM-2006-04-13:T53,TEXTO_DANADO_POR_COTEJAR,"El señor Gerente de División mencionado informó lo siguiente: 1. Con los antecedentes disponibles, las opciones que parecen plausibles para esta reunión son mantener o aumentar la tasa de política monetaria en 25 puntos base. 2. Las novedades no parecen suficientes para hacer cambios fundamentales al panorama macroeconómico central discutido en los últimos meses, y que justifica una normalización pausada de la tasa de política monetaria. Si algo, las novedades ratifican que no sería necesario acelerar el ritmo de normalización de la política monetaria. La mayoría de las medidas de tendencia inflacionaria y las expectativas de inflación se mantienen en torno a 3%, las pequeñas holguras que subsisten, más allá de vaivenes mensuales en las cifras de actividad, parecen estar copándose gradualmente, y la política monetaria es aún expansiva. Para mantener este cuadro de inflación y expectativas bien ancladas, y así favorecer la sostenibilidad de este ciclo expansivo, es necesario continuar retirando el estímulo monetario que persiste, lo que además es esperado por los mercados. 3. Con todo, cabe consignar que, de sostenerse en el tiempo, hay novedades que sí podrían modificar el escenario en algunas dimensiones relevantes. A este respecto, cabe notar los mayores precios del cobre, los que configuran un escenario de mayores términos de intercambio, y más persistente, de lo proyectado en meses anteriores, con efectos en el gasto del gobierno a partir de 2007 y sobre la trayectoria del tipo de cambio. Por otro lado, la actividad interna está mostrando un menor empuje del que se preveía, situación que, en todo caso, no debería sostenerse. Se destaca además el riesgo de que el precio del petróleo no descienda como se espera. 4. Se puede justificar aumentar la tasa de política monetaria en esta reunión simplemente a partir de la validación del escenario central. Un alza hoy es plenamente coherente con este escenario y es esperada por el mercado. Apoyan esta opción el que las condiciones financieras se mantienen expansivas, en un cuadro en que la tendencia inflacionaria se ubica en el centro del rango meta y las holguras no son significativas. Aunque el aumento de los CLU se suma a estos argumentos, cabe mencionar que la velocidad de incremento de estos costos entrega un cuadro más benigno del que se percibe de sus variaciones anuales. A ello se suman los temas de interpretación por cambios de metodología y cambio de composición. Se estima, por lo tanto, que la evolución de los costos laborales U 5. Por otro lado, se podría justificar mantener la tasa de política monetaria considerando el menor crecimiento que está mostrando la actividad, la reducida inflación IPCX1 y el efecto desinflacionario que debería tener el menor tipo de cambio, de mantenerse el mayor valor del peso en el tiempo. Sin embargo, hay que considerar que la evidencia apunta a que el menor empuje de la actividad no es un fenómeno de demanda, sino que más bien obedecería a shocks de oferta en sectores específicos que ocurrirían por una sola vez, por lo que sus efectos en una menor inflación no serían significativos ni perdurables. Asimismo, se estima que la menor inflación IPCX1 debería revertirse. A esto último se agrega que las medidas de inflación IPC_F han seguido aumentando. 6. Además de las consideraciones anteriores, la mantención de la tasa de política monetaria en esta oportunidad sería una sorpresa para el mercado, considerando que las expectativas son de un alza en su mayoría. Tampoco sería una acción de política fácil de explicar. Por el contrario, un aumento de 25 puntos base, al estar internalizada en la estructura de precios financieros, no debiera tener mayores efectos y sería comprendida con relativa facilidad."
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,854,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2006-04-13:T54,,"El Presidente señor Vittorio Corbo, ofrece la palabra a los asistentes para comentarios."
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,855,Klaus Schmidt-Hebbel Dunker,SUJETO_ROL_NOMBRE,RPM-2006-04-13:T55,FINAL_SIN_PUNTUACION,"El señor Gerente de Investigación Económica, señor Klaus Schmidt-Hebbel Dunker, señala que las novedades del mes se concentran intensamente en las condiciones externas que enfrenta la economía chilena y, en particular, en los precios de los commodities. Indica que con este shock, se corrige en 14,4 puntos porcentuales la proyección de los términos de intercambio promedio para el año 2006 y, con toda seguridad, en alguna medida las proyecciones de mediano plazo para los años siguientes. Agrega, asimismo, que este shock de términos de intercambio se debe a un incremento de unos UScts 40 por libra de cobre y unos US$ 4 por barril del petróleo, que llevan, en forma combinada, a unos 2 puntos base del PIB de mayor ingreso (y ahorro) fiscal y, aproximadamente 0,7% de aumento en el ingreso privado disponible en el año 2006. También hace presente el señor Gerente de Investigación Económica, que en las condiciones internas no hay novedades de la magnitud de las externas, y tienden a ser de signo contrario. Por una parte, el crecimiento del primer trimestre es más débil de lo esperado, poniéndose en duda la proyección de crecimiento inicial para el año. Por otra parte, señala que el crecimiento del empleo y de la fuerza de trabajo sigue a ritmo más elevado de lo anticipado. Agrega, el señor Schmidt-Hebbel, que el escenario base involucra, en su opinión, dos escenarios de riesgo importantes. El primero, es de un mayor crecimiento que el que se está proyectando actualmente (eventual escenario IPoM) para 2006 y, para 2007, que supone una aproximación asintótica, desde abajo, del PIB efectivo al PIB potencial. Estima que, a la luz de la experiencia internacional, es altamente improbable esta convergencia asintótica. En las actuales y muy excepcionales condiciones externas e internas que benefician a la economía chilena, la experiencia mundial sugiere que el crecimiento mayor al potencial seguiría todavía por un buen tiempo, llevando al producto a niveles por encima del potencial y a la tasa de desempleo por debajo de su nivel natural, estimado en 8% para Chile. Señala el señor Schmidt-Hebbel que son muy excepcionales las experiencias internacionales de países maduros que, en condiciones internacionales tan prósperas como las nuestras en la actualidad, logran evitar la correspondiente fase holgada de sus ciclos económicos. Menciona el señor Gerente de Investigación Económica, que el segundo riesgo al cual se enfrenta la economía chilena es de una significativa apreciación nominal y real adicional, empujando el valor del dólar bastante por debajo de los actuales $513 por dólar. Ello"
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,856,Manuel Marfán Lewis,CONTEXTO_REVISADO,RPM-2006-04-13:T56,,"Consulta el Consejero señor Marfán, por qué una combinación de aumento de precio del cobre y del precio del petróleo, significa un mejor ingreso disponible privado."
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,857,Klaus Schmidt-Hebbel Dunker,SUJETO_NOMBRE,RPM-2006-04-13:T57,,"El señor Schmidt-Hebbel, responde al señor Consejero, que el aumento del ingreso disponible privado se basa en estimaciones presentadas en una minuta de la División Estudios de hace dos semanas atrás, que mide el impacto de alzas en el precio del cobre y del petróleo sobre el ingreso disponible privado."
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,858,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,RPM-2006-04-13:T58,,"El Consejero señor Marfán, en relación a lo anterior, consulta la razón por la cual los privados ganan con el aumento del precio del cobre."
METADATOS_ATRIBUCION,644,4d0ec7f0ca45ca994334bb8094622dd350fe8225fe1958d6d7d6120f2f008c73,859,Klaus Schmidt-Hebbel Dunker,SUJETO_NOMBRE,RPM-2006-04-13:T59,,"Señala el señor Schmidt-Hebbel, que el impacto de un mayor precio del cobre sobre el producto puede verse reflejado en el impacto de los términos de intercambio, en la ecuación de producto o IS en el modelo de proyecciones del Banco Central de Chile."
